"Years","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"                                Other Europe ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1497000000","1599000000","1590000000","1927000000","47805000000","52334000000","59214000000","69992000000","86433000000","106055000000","77931000000","88630000000","109337000000","109628000000","109490000000","104603000000","92920000000","93142000000","100347000000","107979000000","105520000000","94035000000","120252000000"
"                                European Union  ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"152077000000","165833000000","159156000000","144567000000","153190000000","171733000000","188164000000","215643000000","248868000000","277137000000","225282000000","242646000000","273412000000","269452000000","265495000000","279347000000","273695000000","271057000000","284928000000","320490000000","338142000000","231520000000","272575000000"
"                                Euro Area ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"106706000000","117013000000","113392000000","106464000000","114263000000","127373000000","138294000000","156150000000","180646000000","203527000000","164790000000","178032000000","198468000000","196012000000","199769000000","206988000000","201599000000","200224000000","211356000000","233560000000","247651000000","211787000000","248345000000"
"                        Latin America and other Western Hemisphere ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"141964000000","170922000000","159832000000","148910000000","149699000000","172629000000","193679000000","223288000000","243861000000","289784000000","239378000000","302908000000","368543000000","400436000000","411635000000","425962000000","389647000000","366632000000","394830000000","430304000000","418313000000","340345000000","451285000000"
"                            By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                                South and Central America ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"131611000000","159386000000","148625000000","137730000000","138050000000","159973000000","178298000000","205458000000","223643000000","265419000000","220609000000","280643000000","345442000000","377560000000","387732000000","400769000000","367675000000","344985000000","370922000000","404010000000","391462000000","319259000000","424495000000"
"                                    By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                                        Argentina ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4945000000","4688000000","3923000000","1596000000","2447000000","3405000000","4142000000","4802000000","5876000000","7575000000","5588000000","7406000000","9920000000","10272000000","10391000000","10857000000","9377000000","8537000000","9640000000","9939000000","8150000000","5909000000","7733000000"
"                                        Brazil ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13230000000","15364000000","15914000000","12394000000","11224000000","13870000000","15343000000","19008000000","24303000000","32435000000","26097000000","35348000000","42962000000","43734000000","44092000000","42395000000","31565000000","30139000000","37369000000","39321000000","42625000000","34421000000","46731000000"
"                                        Mexico ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"86856000000","111296000000","101326000000","97474000000","97467000000","110837000000","120444000000","133998000000","136167000000","151610000000","129214000000","163757000000","198601000000","216403000000","226477000000","241486000000","236766000000","230520000000","243865000000","266324000000","256619000000","211572000000","276593000000"
"                                        Venezuela ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5335000000","5531000000","5617000000","4041000000","2842000000","4788000000","6439000000","9017000000","10218000000","12638000000","9348000000","10643000000","12378000000","17513000000","13197000000","11170000000","8344000000","5213000000","4139000000","6075000000","1297000000","1131000000","1651000000"
"                                        Other South and Central America ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2670000000","2800000000","2967000000","3089000000","24070000000","27073000000","31930000000","38632000000","47079000000","61161000000","50362000000","63488000000","81582000000","89637000000","93575000000","94862000000","81623000000","70576000000","75908000000","82351000000","82771000000","66226000000","91787000000"
"                                Other Western Hemisphere ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10353000000","11536000000","11207000000","11180000000","11648000000","12656000000","15381000000","17831000000","20218000000","24365000000","18769000000","22266000000","23101000000","22876000000","23903000000","25193000000","21973000000","21647000000","23908000000","26295000000","26851000000","21086000000","26790000000"
