 "Years","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"                            By region ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                                Australia ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25722000000000000","39062000000000000","36623000000000000","34836000000000000","6527000000","7678000000","7454000000","8380000000","8797000000","10823000000","8196000000","8815000000","10505000000","9817000000","9499000000","10921000000","11050000000","9634000000","10146000000","10235000000","10942000000","14523000000","12574000000"
"                                China ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"81915000000","100231000000","102570000000","125498000000","152974000000","197456000000","244699000000","289246000000","322975000000","339581000000","297872000000","366126000000","400632000000","426792000000","441616000000","469660000000","484071000000","463089000000","506011000000","539394000000","451318000000","434782000000","506759000000"
"                                Hong Kong ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10890000000","12137000000","10221000000","9919000000","9560000000","10211000000","9692000000","8552000000","7345000000","6965000000","3877000000","4696000000","4892000000","5894000000","6120000000","6707000000","7318000000","7783000000","7749000000","6809000000","5292000000","8225000000","4393000000"
"                                India ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9083000000","10703000000","9774000000","11836000000","13091000000","15625000000","18896000000","21969000000","24233000000","25888000000","21336000000","29683000000","36338000000","40673000000","41981000000","45526000000","44902000000","46117000000","48569000000","54270000000","57892000000","51241000000","73370000000"
"                                Japan ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"131799000000","147887000000","127716000000","122479000000","119347000000","131517000000","140388000000","150853000000","148281000000","142407000000","97804000000","122929000000","131806000000","149164000000","141313000000","137321000000","134365000000","134138000000","137483000000","143370000000","144763000000","120232000000","136136000000"
"                                Singapore ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18276000000","19365000000","15290000000","15016000000","15434000000","15714000000","15557000000","18383000000","18920000000","16874000000","16323000000","18454000000","20079000000","20627000000","17961000000","16574000000","18335000000","17784000000","19191000000","26172000000","25974000000","30599000000","29173000000"
"                                South Korea ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31324000000","40504000000","35584000000","36041000000","37797000000","46886000000","44217000000","46427000000","48734000000","49402000000","40115000000","49762000000","57587000000","59585000000","62962000000","70695000000","72448000000","70389000000","71835000000","75054000000","78262000000","76772000000","96047000000"
"                                Taiwan ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35510000000","41091000000","33755000000","32736000000","32292000000","35193000000","35350000000","38703000000","38846000000","36881000000","28743000000","36016000000","41543000000","38964000000","38023000000","40958000000","41011000000","39198000000","42442000000","45727000000","54277000000","60440000000","77166000000"
"                                Other Asia & Pacific ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8068000000","10046000000","10134000000","9812000000","78391000000","86173000000","98036000000","108886000000","108185000000","110201000000","89943000000","105219000000","116256000000","118987000000","125454000000","137957000000","151840000000","157978000000","167460000000","175822000000","197761000000","217651000000","278503000000"
"                        International organizations and unallocated ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"                Imports of services ($)","7675000000","7671000000","8092000000","8363000000","8619000000","9111000000","10494000000","11863000000","12301000000","13323000000","14519000000","15401000000","16867000000","18843000000","21378000000","21996000000","24570000000","27640000000","32189000000","36689000000","41492000000","45503000000","51750000000","54973000000","67748000000","72863000000","80147000000","90788000000","98525000000","102480000000","117660000000","118459000000","119566000000","123780000000","133057000000","141397000000","152554000000","165932000000","180677000000","196742000000","220927000000","222039000000","233480000000","252340000000","290609000000","312225000000","349329000000","385464000000","420650000000","407538000000","436456000000","458188000000","469610000000","465736000000","491086000000","498213000000","512617000000","547172000000","563926000000","591121000000","460301000000","541245000000"
"                    By type ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                        Maintenance and repair services ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1193000000","2316000000","1821000000","2016000000","2043000000","2181000000","2730000000","4091000000","4590000000","5128000000","5257000000","5857000000","7168000000","7078000000","6674000000","6732000000","8084000000","7595000000","6796000000","7354000000","8866000000","6090000000","7514000000"
"                        Transport ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49892000000","58526000000","56571000000","55398000000","61084000000","71954000000","78796000000","82348000000","86097000000","92837000000","75784000000","88394000000","95027000000","99323000000","94434000000","99810000000","99557000000","92391000000","96515000000","110441000000","112798000000","72411000000","104806000000"
"                        Travel (for all purposes including education) ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58864000000","64174000000","60525000000","59017000000","61244000000","70332000000","74112000000","78375000000","82606000000","84317000000","82512000000","85166000000","86623000000","90340000000","91119000000","96248000000","102664000000","109155000000","117931000000","126139000000","133285000000","35808000000","57940000000"
"                        Construction ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1524000000","1447000000","1870000000","2616000000","1974000000","2303000000","1295000000","1650000000","2570000000","3526000000","3667000000","2578000000","3025000000","3340000000","2583000000","2314000000","3012000000","1768000000","1950000000","3077000000","1377000000","1131000000","1262000000"
"                        Insurance services ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9389000000","11284000000","16706000000","21927000000","25233000000","29089000000","28710000000","39382000000","47166000000","58444000000","63965000000","63452000000","58277000000","58747000000","52909000000","52915000000","50300000000","52790000000","53267000000","43797000000","51632000000","55617000000","57658000000"
"                        Financial services ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12489000000","16445000000","15982000000","15214000000","15766000000","19043000000","21971000000","27005000000","33768000000","29519000000","24900000000","27215000000","30312000000","28736000000","29284000000","32770000000","32594000000","32672000000","36649000000","39445000000","41210000000","42256000000","44966000000"
"                        Charges for the use of intellectual property ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12845000000","16139000000","16207000000","18981000000","18653000000","22818000000","24127000000","23076000000","24615000000","27764000000","29421000000","31116000000","32911000000","35061000000","35295000000","37562000000","35178000000","41974000000","44405000000","42736000000","41730000000","42984000000","46849000000"
"                        Telecommunications, computer, and information services ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14664000000","14128000000","14012000000","13214000000","14928000000","16382000000","18404000000","20850000000","23660000000","26138000000","26038000000","29421000000","32832000000","33285000000","35868000000","38461000000","38815000000","39720000000","43091000000","41701000000","42961000000","38594000000","41358000000"
"                        Other business services ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19999000000","20306000000","21204000000","24027000000","25748000000","28026000000","32076000000","41378000000","48455000000","59675000000","59517000000","65903000000","74082000000","78678000000","84024000000","90716000000","95119000000","100505000000","106991000000","107435000000","112776000000","117673000000","126780000000"
"                        Personal, cultural, and recreational services ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1670000000","1645000000","1820000000","1719000000","2049000000","2183000000","2550000000","3822000000","3678000000","4421000000","5016000000","5393000000","6636000000","7160000000","8205000000","9323000000","11358000000","12544000000","17530000000","18825000000","20486000000","23185000000","26952000000"
"                        Government goods and services  ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14212000000","14516000000","15322000000","19353000000","23619000000","26296000000","27454000000","27353000000","28260000000","28880000000","31460000000","31960000000","31293000000","27861000000","25341000000","24236000000","21531000000","21503000000","22047000000","22975000000","24000000000","24553000000","25160000000"
"                    By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                        Canada ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17943000000","19802000000","19311000000","19857000000","21986000000","23670000000","25327000000","25827000000","28011000000","28680000000","24991000000","28518000000","31188000000","32114000000","31611000000","32128000000","31462000000","33574000000","36250000000","38324000000","38717000000","29270000000","30590000000"
"                        Europe ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"85580000000","97268000000","97400000000","101545000000","109469000000","122990000000","133857000000","152065000000","171251000000","184848000000","173035000000","178884000000","189596000000","193485000000","193312000000","205943000000","208997000000","212999000000","234169000000","232317000000","246171000000","197016000000","227526000000"
"                            By region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                                Belgium ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2040000000","2118000000","2124000000","1880000000","2199000000","2619000000","2595000000","2998000000","3517000000","3836000000","4125000000","4436000000","5058000000","4769000000","5275000000","5938000000","5998000000","5740000000","5366000000","5076000000","4420000000","4130000000","4604000000"
"                                France ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8677000000","11357000000","10704000000","11093000000","11263000000","12425000000","13413000000","15569000000","16652000000","16234000000","17094000000","17746000000","19149000000","18006000000","16592000000","18081000000","17805000000","17511000000","19366000000","19504000000","20365000000","13289000000","18186000000"
"                                Germany ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14272000000","16676000000","17176000000","20259000000","21543000000","23538000000","24343000000","27719000000","30744000000","34966000000","31276000000","31356000000","32884000000","34185000000","34152000000","34012000000","33408000000","34702000000","35852000000","33867000000","35718000000","31554000000","34306000000"
"                                Italy ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5436000000","6529000000","6280000000","5708000000","6342000000","7711000000","8475000000","9322000000","9524000000","9342000000","8769000000","8982000000","9262000000","9356000000","9227000000","9372000000","9312000000","9703000000","10467000000","11318000000","12000000000","4517000000","5881000000"
"                                Luxembourg ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"361000000","312000000","297000000","426000000","435000000","615000000","525000000","740000000","958000000","1046000000","1609000000","1280000000","1454000000","1685000000","1780000000","1788000000","2031000000","2086000000","1895000000","1782000000","1802000000","2117000000","2348000000"
"                                Netherlands ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4957000000","5884000000","6244000000","6538000000","6533000000","6815000000","7368000000","7774000000","8355000000","9186000000","8003000000","8846000000","9334000000","9540000000","9835000000","10481000000","10811000000","11132000000","12326000000","13360000000","14692000000","12624000000","16043000000"
"                                UK ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26122000000","26801000000","26546000000","26453000000","28763000000","31251000000","32374000000","37653000000","42024000000","45069000000","40436000000","44481000000","48886000000","49542000000","49965000000","56296000000","56487000000","53921000000","60011000000","62241000000","62817000000","52500000000","55488000000"
"                                Other Europe ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15160000000","17468000000","17198000000","16852000000","32391000000","38016000000","44764000000","50290000000","59476000000","65170000000","61721000000","61759000000","63570000000","66402000000","66486000000","69976000000","73145000000","78204000000","88886000000","85171000000","94356000000","76286000000","90670000000"
"                                European Union  ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74117000000","84323000000","83873000000","86811000000","93422000000","105928000000","113381000000","129992000000","146285000000","156613000000","145017000000","150251000000","160436000000","161649000000","161451000000","173746000000","177182000000","178779000000","193638000000","196741000000","207949000000","111297000000","132765000000"
"                                Euro Area  ($)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43248000000","52102000000","54584000000","56914000000","60030000000","67508000000","72448000000","83037000000","94017000000","99783000000","94253000000","95907000000","101555000000","102056000000","101292000000","106259000000","108744000000","112554000000","120071000000","119652000000","130359000000","97420000000","115261000000"
