date,APPL,AMZN,GOOG,META,MFST
2023-10-30,170.289993,132.710007,125.750000,302.660004,337.309998
2023-10-31,170.770004,133.089996,125.300003,301.269989,338.109985
2023-11-01,173.970001,137.000000,127.570000,311.850006,346.070007
2023-11-02,177.570007,138.070007,128.580002,310.869995,348.320007
2023-11-03,176.649994,138.600006,130.369995,314.600006,352.799988
2023-11-06,179.229996,139.740005,131.449997,315.799988,356.529999
2023-11-07,181.820007,142.710007,132.399994,318.820007,360.529999
2023-11-08,182.889999,142.080002,133.259995,319.779999,363.200012
2023-11-09,182.410004,140.600006,131.690002,320.549988,360.690002
2023-11-10,186.399994,143.559998,134.059998,328.769989,369.670013
2023-11-13,184.800003,142.589996,133.639999,329.190002,366.679993
2023-11-14,187.440002,145.800003,135.429993,336.309998,370.269989
2023-11-15,188.009995,143.199997,136.380005,332.709991,369.670013
2023-11-16,189.710007,142.830002,138.699997,334.190002,376.170013
2023-11-17,189.690002,145.179993,136.940002,335.040009,369.850006
2023-11-20,191.449997,146.130005,137.919998,339.970001,377.440002
2023-11-21,190.639999,143.899994,138.619995,336.980011,373.070007
2023-11-22,191.309998,146.710007,140.020004,341.489990,377.850006
2023-11-24,189.970001,146.740005,138.220001,338.230011,377.429993
2023-11-27,189.789993,147.729996,138.050003,334.700012,378.609985
2023-11-28,190.399994,147.029999,138.619995,338.989990,382.700012
2023-11-29,189.369995,146.320007,136.399994,332.200012,378.850006
2023-11-30,189.949997,146.089996,133.919998,327.149994,378.910004
2023-12-01,191.240005,147.029999,133.320007,324.820007,374.510010
2023-12-04,189.429993,144.839996,130.630005,320.019989,369.140015
2023-12-05,193.419998,146.880005,132.389999,318.290009,372.519989
2023-12-06,192.320007,144.520004,131.429993,317.450012,368.799988
2023-12-07,194.270004,146.880005,138.449997,326.589996,370.950012
2023-12-08,195.710007,147.419998,136.639999,332.750000,374.230011
2023-12-11,193.179993,145.889999,134.699997,325.279999,371.299988
2023-12-12,194.710007,147.479996,133.639999,334.220001,374.380005
2023-12-13,197.960007,148.839996,133.970001,334.739990,374.369995
2023-12-14,198.110001,147.419998,133.199997,333.170013,365.929993
2023-12-15,197.570007,149.970001,133.839996,334.920013,370.730011
2023-12-18,195.889999,154.070007,137.190002,344.619995,372.649994
2023-12-19,196.940002,153.789993,138.100006,350.359985,373.260010
2023-12-20,194.830002,152.119995,139.660004,349.279999,370.619995
2023-12-21,194.679993,153.839996,141.800003,354.089996,373.540009
2023-12-22,193.600006,153.419998,142.720001,353.390015,374.579987
2023-12-26,193.050003,153.410004,142.820007,354.829987,374.660004
2023-12-27,193.149994,153.339996,141.440002,357.829987,374.070007
2023-12-28,193.580002,153.380005,141.279999,358.320007,375.279999
2023-12-29,192.529999,151.940002,140.929993,353.959991,376.040009
2024-01-02,185.639999,149.929993,139.559998,346.290009,370.869995
2024-01-03,184.250000,148.470001,140.360001,344.470001,370.600006
2024-01-04,181.910004,144.570007,138.039993,347.119995,367.940002
2024-01-05,181.179993,145.240005,137.389999,351.950012,367.750000
2024-01-08,185.559998,149.100006,140.529999,358.660004,374.690002
2024-01-09,185.139999,151.369995,142.559998,357.429993,375.790009
2024-01-10,186.190002,153.729996,143.800003,370.470001,382.769989
2024-01-11,185.589996,155.179993,143.669998,369.670013,384.630005
2024-01-12,185.919998,154.619995,144.240005,374.489990,388.470001
2024-01-16,183.630005,153.160004,144.080002,367.459991,390.269989
2024-01-17,182.679993,151.710007,142.889999,368.369995,389.470001
2024-01-18,188.630005,153.500000,144.990005,376.130005,393.869995
2024-01-19,191.559998,155.339996,147.970001,383.450012,398.670013
2024-01-22,193.889999,154.779999,147.710007,381.779999,396.510010
2024-01-23,195.179993,156.020004,148.679993,385.200012,398.899994
2024-01-24,194.500000,156.869995,150.350006,390.700012,402.559998
2024-01-25,194.169998,157.750000,153.639999,393.179993,404.869995
2024-01-26,192.419998,159.119995,153.789993,394.140015,403.929993
2024-01-29,191.729996,161.259995,154.839996,401.019989,409.720001
2024-01-30,188.039993,159.000000,153.050003,400.059998,408.589996
2024-01-31,184.399994,155.199997,141.800003,390.140015,397.579987
2024-02-01,186.860001,159.279999,142.710007,394.779999,403.779999
2024-02-02,185.850006,171.809998,143.539993,474.989990,411.220001
2024-02-05,187.679993,170.309998,144.929993,459.410004,405.649994
2024-02-06,189.300003,169.149994,145.410004,454.720001,405.489990
2024-02-07,189.410004,170.529999,146.679993,469.589996,414.049988
2024-02-08,188.320007,169.839996,147.220001,470.000000,414.109985
2024-02-09,188.850006,174.449997,150.220001,468.109985,420.549988
2024-02-12,187.149994,172.339996,148.729996,468.899994,415.260010
2024-02-13,185.039993,168.639999,146.369995,460.119995,406.320007
2024-02-14,184.149994,170.979996,147.139999,473.279999,409.489990
2024-02-15,183.860001,169.800003,143.940002,484.029999,406.559998
2024-02-16,182.309998,169.509995,141.759995,473.320007,404.059998
2024-02-20,181.559998,167.080002,142.199997,471.750000,402.790009
2024-02-21,182.320007,168.589996,143.839996,468.029999,402.179993
2024-02-22,184.369995,174.580002,145.320007,486.130005,411.649994
2024-02-23,182.520004,174.990005,145.289993,484.029999,410.339996
2024-02-26,181.160004,174.729996,138.750000,481.739990,407.540009
2024-02-27,182.630005,173.539993,140.100006,487.049988,407.480011
2024-02-28,181.419998,173.160004,137.429993,484.019989,407.720001
2024-02-29,180.750000,176.759995,139.779999,490.130005,413.640015
2024-03-01,179.660004,178.220001,138.080002,502.299988,415.500000
2024-03-04,175.100006,177.580002,134.199997,498.190002,414.920013
2024-03-05,170.119995,174.119995,133.779999,490.220001,402.649994
2024-03-06,169.119995,173.509995,132.559998,496.089996,402.089996
